q,avg_improvement,buy_avg_improvement,sell_avg_improvement,ridge_trigger_rate,strategy5_trigger_rate
0.05,0.014739583333333547,0.028124999999999085,0.001354166666668007,0.4791666666666667,0.5052083333333334
0.1,0.01484375000000047,0.023802083333333612,0.005885416666667327,0.6302083333333334,0.3567708333333333
0.15000000000000002,0.014531250000000653,0.024166666666666097,0.004895833333335209,0.7421875,0.25
0.2,0.00861979166666734,0.021406249999999478,-0.004166666666664802,0.8515625,0.1484375
0.25,0.009166666666667933,0.019322916666666783,-0.000989583333330916,0.8854166666666666,0.11458333333333333
0.30000000000000004,0.007916666666668357,0.017031250000000126,-0.0011979166666634122,0.8958333333333334,0.10416666666666667
0.35000000000000003,0.006145833333335145,0.013697916666667106,-0.0014062499999968152,0.90625,0.09375
0.4,0.004635416666668464,0.012031250000000326,-0.0027604166666633976,0.9166666666666666,0.08333333333333333
0.45,0.007786458333334255,0.010520833333333387,0.005052083333335122,0.9270833333333334,0.07291666666666667
0.5,0.006093750000001859,0.005729166666667063,0.006458333333336656,0.9270833333333334,0.07291666666666667
0.55,0.00479166666666897,0.004010416666667294,0.0055729166666706464,0.9348958333333334,0.06510416666666667
0.6000000000000001,0.00536458333333482,0.0038020833333335577,0.0069270833333360815,0.9427083333333334,0.057291666666666664
0.65,0.005442708333334971,0.004270833333334019,0.006614583333335922,0.9453125,0.0546875
0.7000000000000001,0.005234375000001679,0.004687500000000899,0.005781250000002458,0.9479166666666666,0.052083333333333336
0.75,0.004010416666667682,0.0017708333333333326,0.006250000000002032,0.9479166666666666,0.052083333333333336
0.8,0.0018750000000012552,0.00031249999999954925,0.003437500000002961,0.9505208333333334,0.049479166666666664
