stock,horizon,quintile,avg_signal,avg_future_return,obs
AMZN,1s,1,-0.0002703972412055763,-1.2391897378208066e-06,3239
AMZN,1s,2,-5.650915166238889e-05,-2.5298021239615104e-06,3239
AMZN,1s,3,-1.6622732105850007e-06,-2.4307509586734287e-06,3238
AMZN,1s,4,5.499436750214171e-05,-7.055581369329411e-07,3238
AMZN,1s,5,0.00025638238351882313,4.017242070386161e-06,3239
GOOG,1s,1,-0.00022851479616594494,-4.187261064563886e-06,3239
GOOG,1s,2,-4.7816760635582925e-05,-1.3401410776389563e-06,3239
GOOG,1s,3,2.2002346611820193e-06,-2.084863406044601e-06,3238
GOOG,1s,4,5.024628540450786e-05,-2.5112439701317777e-07,3238
GOOG,1s,5,0.00022697891774982977,1.913061918615313e-06,3239
INTC,1s,1,-0.00024007848444819653,-7.613881183808855e-06,3239
INTC,1s,2,-3.8511657832589946e-05,-1.19904773807562e-06,3238
INTC,1s,3,-1.5447221639908696e-06,-1.1440765702995222e-06,3240
INTC,1s,4,3.720086407766875e-05,6.447629830653914e-07,3237
INTC,1s,5,0.0002564434175510747,1.883499984952451e-06,3239
MSFT,1s,1,-0.00024747436591885383,-4.971462038111006e-06,3239
MSFT,1s,2,-4.004501945178866e-05,-3.2340520091937435e-06,3238
MSFT,1s,3,-1.8598008705076016e-06,-3.9259125052913555e-06,3239
MSFT,1s,4,3.60757358032179e-05,1.9206787606616464e-06,3239
MSFT,1s,5,0.00025400233921068187,4.352791823900968e-06,3238
AMZN,3s,1,-0.0002703972412055763,-1.1077844738230334e-06,3239
AMZN,3s,2,-5.650915166238889e-05,-6.561660503310075e-06,3239
AMZN,3s,3,-1.6673204849452497e-06,-1.051598297298811e-05,3237
AMZN,3s,4,5.498191964366422e-05,-4.5091385661584305e-07,3239
AMZN,3s,5,0.00025641131038339787,9.969481917203953e-06,3237
GOOG,3s,1,-0.00022851479616594494,-1.3553451157322559e-05,3239
GOOG,3s,2,-4.7816760635582925e-05,-4.393280070944426e-06,3239
GOOG,3s,3,2.195530350339675e-06,-2.8954475797890457e-06,3237
GOOG,3s,4,5.022281486263592e-05,-2.080571850318184e-06,3238
GOOG,3s,5,0.00022701320670838219,5.134972078130961e-06,3238
INTC,3s,1,-0.00023989723372294818,-1.77728533384004e-05,3239
INTC,3s,2,-3.846790350058481e-05,-4.177483978861311e-06,3238
INTC,3s,3,-1.5384331330808618e-06,-7.348475760883109e-06,3238
INTC,3s,4,3.721648253979455e-05,2.205565853871442e-06,3238
INTC,3s,5,0.00025649550833955836,4.578404302412769e-06,3238
MSFT,3s,1,-0.00024747436591885383,-1.051715094056144e-05,3239
MSFT,3s,2,-4.004501945178866e-05,-9.746675805720382e-06,3238
MSFT,3s,3,-1.8598008705076016e-06,-7.916860858358663e-06,3239
MSFT,3s,4,3.6059812417022505e-05,3.2465267408221354e-06,3237
MSFT,3s,5,0.00025400233921068187,8.355956757670369e-06,3238
AMZN,5s,1,-0.00027044661938872047,-4.128144731999883e-06,3238
AMZN,5s,2,-5.65487328219585e-05,-5.972322211881623e-06,3238
AMZN,5s,3,-1.6883891139960142e-06,-1.3069551192692103e-05,3237
AMZN,5s,4,5.4957044380408815e-05,-5.832262502810965e-06,3241
AMZN,5s,5,0.0002564551514549744,1.4562061982743437e-05,3235
GOOG,5s,1,-0.0002285546017992827,-2.3222217866467382e-05,3238
GOOG,5s,2,-4.782821609360366e-05,-6.212476724961965e-06,3239
GOOG,5s,3,2.1908239167827717e-06,-5.018561879421088e-06,3236
GOOG,5s,4,5.0198349531969235e-05,-5.441318285471665e-06,3238
GOOG,5s,5,0.0002270072440833303,1.0412598663247735e-05,3238
INTC,5s,1,-0.00023979601088575667,-2.9137469808855555e-05,3238
INTC,5s,2,-3.84377948515871e-05,-4.752094199606701e-06,3239
INTC,5s,3,-1.5321369019783182e-06,-1.1923836051560874e-05,3236
INTC,5s,4,3.721648253979455e-05,3.49316682439387e-06,3238
INTC,5s,5,0.00025649550833955836,4.535423648051031e-06,3238
MSFT,5s,1,-0.00024752371538847235,-1.4555142587170812e-05,3238
MSFT,5s,2,-4.0068267374015e-05,-1.593781542603549e-05,3238
MSFT,5s,3,-1.8716830125182506e-06,-9.145612244794069e-06,3237
MSFT,5s,4,3.602187130444723e-05,4.370775039596162e-06,3239
MSFT,5s,5,0.0002540336579301285,7.855788491061824e-06,3237
