stock,side,feature,rank
AMZN,buy,bid1,1
AMZN,buy,spread,2
AMZN,buy,bsz1,3
AMZN,buy,asz1,4
AMZN,buy,imbalance_1,5
AMZN,buy,micro_minus_mid,6
AMZN,buy,total_bid_size_5,7
AMZN,buy,imbalance_5,8
AMZN,buy,spread_chg1,9
AMZN,buy,imbalance_1_chg1,10
AMZN,buy,ask_liq_1_chg1,11
AMZN,buy,total_ask_size_5_chg1,12
AMZN,buy,sec_in_min,13
AMZN,buy,event_idx_in_min,14
AMZN,sell,bid1,1
AMZN,sell,spread,2
AMZN,sell,asz1,3
AMZN,sell,depth_value_1,4
AMZN,sell,imbalance_1,5
AMZN,sell,micro_minus_mid,6
AMZN,sell,imbalance_5,7
AMZN,sell,spread_chg1,8
AMZN,sell,sec_in_min,9
AMZN,sell,event_idx_in_min,10
GOOG,buy,bid1,1
GOOG,buy,spread,2
GOOG,buy,bsz1,3
GOOG,buy,depth_value_1,4
GOOG,buy,imbalance_1,5
GOOG,buy,micro_minus_mid,6
GOOG,buy,total_bid_size_5,7
GOOG,buy,imbalance_5,8
GOOG,buy,mid_chg1,9
GOOG,buy,spread_chg1,10
GOOG,buy,ask_liq_1_chg1,11
GOOG,buy,sec_in_min,12
GOOG,buy,event_idx_in_min,13
GOOG,sell,bid1,1
GOOG,sell,spread,2
GOOG,sell,bsz1,3
GOOG,sell,depth_value_1,4
GOOG,sell,imbalance_1,5
GOOG,sell,micro_minus_mid,6
GOOG,sell,imbalance_5,7
GOOG,sell,mid_chg1,8
GOOG,sell,spread_chg1,9
GOOG,sell,sec_in_min,10
GOOG,sell,event_idx_in_min,11
INTC,buy,bid1,1
INTC,buy,spread,2
INTC,buy,bsz1,3
INTC,buy,asz1,4
INTC,buy,depth_value_1,5
INTC,buy,imbalance_1,6
INTC,buy,micro_minus_mid,7
INTC,buy,total_bid_size_5,8
INTC,buy,imbalance_5,9
INTC,buy,mid_chg1,10
INTC,buy,spread_chg1,11
INTC,buy,imbalance_1_chg1,12
INTC,buy,imbalance_5_chg1,13
INTC,buy,micro_minus_mid_chg1,14
INTC,buy,ask_liq_1_chg1,15
INTC,buy,total_ask_size_5_chg1,16
INTC,buy,sec_in_min,17
INTC,sell,bid1,1
INTC,sell,spread,2
INTC,sell,asz1,3
INTC,sell,depth_value_1,4
INTC,sell,imbalance_1,5
INTC,sell,micro_minus_mid,6
INTC,sell,total_bid_size_5,7
INTC,sell,imbalance_5,8
INTC,sell,mid_chg1,9
INTC,sell,spread_chg1,10
INTC,sell,imbalance_1_chg1,11
INTC,sell,imbalance_5_chg1,12
INTC,sell,micro_minus_mid_chg1,13
INTC,sell,bid_liq_1_chg1,14
INTC,sell,total_bid_size_5_chg1,15
INTC,sell,sec_in_min,16
INTC,sell,event_idx_in_min,17
MSFT,buy,bid1,1
MSFT,buy,spread,2
MSFT,buy,bsz1,3
MSFT,buy,asz1,4
MSFT,buy,imbalance_1,5
MSFT,buy,micro_minus_mid,6
MSFT,buy,total_bid_size_5,7
MSFT,buy,imbalance_5,8
MSFT,buy,mid_chg1,9
MSFT,buy,spread_chg1,10
MSFT,buy,imbalance_1_chg1,11
MSFT,buy,imbalance_5_chg1,12
MSFT,buy,micro_minus_mid_chg1,13
MSFT,buy,ask_liq_1_chg1,14
MSFT,buy,total_ask_size_5_chg1,15
MSFT,buy,sec_in_min,16
MSFT,buy,event_idx_in_min,17
MSFT,sell,bid1,1
MSFT,sell,spread,2
MSFT,sell,bsz1,3
MSFT,sell,asz1,4
MSFT,sell,depth_value_1,5
MSFT,sell,imbalance_1,6
MSFT,sell,micro_minus_mid,7
MSFT,sell,total_bid_size_5,8
MSFT,sell,imbalance_5,9
MSFT,sell,mid_chg1,10
MSFT,sell,spread_chg1,11
MSFT,sell,imbalance_1_chg1,12
MSFT,sell,imbalance_5_chg1,13
MSFT,sell,micro_minus_mid_chg1,14
MSFT,sell,bid_liq_1_chg1,15
MSFT,sell,total_bid_size_5_chg1,16
MSFT,sell,sec_in_min,17
MSFT,sell,event_idx_in_min,18
AAPL,buy,bid1,1
AAPL,buy,spread,2
AAPL,buy,asz1,3
AAPL,buy,depth_value_1,4
AAPL,buy,imbalance_1,5
AAPL,buy,micro_minus_mid,6
AAPL,buy,total_bid_size_5,7
AAPL,buy,imbalance_5,8
AAPL,buy,spread_chg1,9
AAPL,buy,sec_in_min,10
AAPL,buy,event_idx_in_min,11
AAPL,sell,bid1,1
AAPL,sell,spread,2
AAPL,sell,asz1,3
AAPL,sell,depth_value_1,4
AAPL,sell,imbalance_1,5
AAPL,sell,micro_minus_mid,6
AAPL,sell,total_bid_size_5,7
AAPL,sell,imbalance_5,8
AAPL,sell,spread_chg1,9
AAPL,sell,bid_liq_1_chg1,10
AAPL,sell,sec_in_min,11
AAPL,sell,event_idx_in_min,12
